Veriler_Duyurular
"{'baslık': 'İş Yeri Eğitimi Sunumları Hk.', 'icerik': 'İş Yeri Eğitimi Sunum Grupları İşyeri Eğitimi Final Değerlendirmesi Hk. İşyeri Eğitimi Final Değerlendirmesi Hakkında Bilgilendirme İşyeri eğitimlerinin değerlendirmeleri öğrenciler için yüz yüze gerçekleştirilecektir. Gizli evrak sunumlara yüz yüze gelindiğinde öğrenci tarafından kapalı zarf içinde teslim edilmelidir. Elden teslim edilerek hazırlanacak işyeri eğitimi ...', 'tarih': 'Sal Oca 2'}"
"{'baslık': '2023-2024 GÜZ DÖNEMİ MAZERET SINAV PROGRAMI Güncelleme 05.01.2024', 'icerik': ""Bölüm sınavları A302 sınıfında yapılacaktır. Ortak derslerin sınav programı Teknoloji Fakültesi ana sayfasında ilan edilmiştir. NOT: Pazartesi günü 10.00 sınavı 10.30'a alınmıştır. Ortak Dersler İçin: Mazeret Sınavına girecek öğrencilerin verilen tarihte ve saatte dersin hocasının bulunduğu fakültede ilgili bölüme gidip ders hocasını bulmaları gerekmektedir. Fizik ..."", 'tarih': 'Cum Ara 29'}"
"{'baslık': 'YILDIRIM Grup Staj İlanı', 'icerik': 'GENEL NİTELİKLER VE İŞ TANIMI Mezuniyet yolunda emin adımlarla ilerlerken, kariyer basamaklarını tırmanmanın heyecanlı bir döneminde, kendini geliştirmeye ve mezuniyet öncesinde gerçek bir iş deneyimi edinmeye hazır mısın? Eğer bu soruya ""Evet!"" diyorsan, YILDIRIM Grup ’da eğitim programına dahil olup ardından staj yapma fırsatı seni bekliyor. YILDIRIM Grup tarafından sunulan özel eğitim programı ...', 'tarih': 'Cum Ara 22'}"
"{'baslık': 'TURKCELL BULUŞMASI', 'icerik': 'Sektör derslerini alan 3. sınıf öğrencilerimiz öncelikli olmak üzere tüm öğrencilerimizin katılım göstermesini rica ederiz. Yazılım Mühendisliği Bölüm Başkanlığı', 'tarih': 'Çar Ara 6'}"
"{'baslık': 'Kariyer.net Stajyer İlanı', 'icerik': 'Bahar döneminde Kariyer.net Teknoloji ve İnovasyon ekibimizde staj yapmaya hazır mısın? 23 yıllık deneyimini start-up ruhuyla sürdüren, sektörünün lideri Kariyer.net’te staj fırsatı seni bekliyor! Gelişim fırsatlarıyla dolu gerçek bir staj deneyimi yaşamak istiyorsan, staj programımıza seni de bekliyoruz! Unutma! Son başvuru tarihi: 10 Aralık 2023 Güncel ...', 'tarih': 'Pts Kas 27'}"
"{'baslık': 'Sektör Dersleri Sınavları Hk.', 'icerik': 'Sektör dersleri uzaktan eğitim sistemi üzerinden  gözetimli bir şekilde yazılım mühendisliği lablarında gerçekleştirilecektir. Sınav tarihi ve yeri programda belirtilmektedir.', 'tarih': 'Sal Kas 21'}"
"{'baslık': 'Siber Güvenlik Eğitimi (Siber Vatan Programı)', 'icerik': 'Fırat Kalkınma Ajansı ile Üniversitemiz tarafından ortak düzenlenecek Siber Vatan Programı kapsamında öğrencilerimize 1 hafta sürecek siber güvenlik eğitimi verilecektir. Eğitimler 4-10 Aralık tarihinde 10:00-17:00 saatleri arasında gerçekleştirilecektir. Eğitime katılmak isteyen öğrenciler 22 Kasım çarşamba günü mesai bitimine kadar güncel transkriptlerinin üzerine telefon ...', 'tarih': 'Sal Kas 21'}"
"{'baslık': 'LOG-in Winter Staj Programı', 'icerik': '', 'tarih': 'Pts Kas 20'}"
"{'baslık': '2023-2024 Güz Dönemi Taslak Ara Sınav Programı(24.11.2023)', 'icerik': '2023-2024 Güz Dönemi Ara Sınav Programı(Güncelleme:23.11.2023) 2023-2024 Güz Dönemi UOLP Ara Sınav Programı (Güncelleme:24.11.2023)', 'tarih': 'Per Kas 16'}"
"{'baslık': 'İnspimo Bilişim Teknolojileri İş İlanı', 'icerik': 'Inspimo Bilişim Teknolojileri firmasının Ankara ve Elazığ ofislerinde aşağıda belirtilen çalışma alanlarında Bahar Yarıyılında iş yeri eğitimi yapmak isteyen veya bu alanlarda deneyimi olan 3. sınıf öğrencilerimizin de başvurularını bekliyoruz: Profil: Oyun ve Simülasyon teknolojilerinde çalışmak isteyen veya 2D/3D modelleme alanına meraklı çalışma arkadaşları. Profil: Web developer olarak kariyerini ...', 'tarih': 'Sal Kas 7'}"
"{'baslık': 'Trendbox Firması Uzun Dönem Staj İlanı', 'icerik': 'Profil: web tabanlı geliştirmelerde tecrübe sahibi olan, Go, Node.Js, React, Javascript Profil: Veri yapıları, PostGre SQL, SQL, Python, Azure, Databricks Mobil yazılım geliştirme teknolojilerine ilgili duyan, Java, Kotlin, React Native, Flutter, Xamarin teknolojileriyle geliştirme yapmak isteyenler Java, C++, C# ve .NET,  Electron frameworkleri üzerinde cross platform desktop yazılım geliştirme teknolojileri üzerinde ...', 'tarih': 'Sal Kas 7'}"
"{'baslık': 'Logo Yazılım Fırat Üniversitesi’nde!', 'icerik': '', 'tarih': 'Per Kas 2'}"
"{'baslık': 'Erasmus Bahar Dönemi Giden Öğrenciler İçin Toplantı', 'icerik': 'Aşağıda listede isimleri olan öğrenciler ile 02.11.2023 perrşembe günü saat 15:00 de bölüm çayocağı salonunda toplantı yapılacaktır.  Mehmet Fatih Akbaş Zekeriyya Köroğlu Yusuf Afşar Ebubekir Özden Gülşen Yıldız Ahmet Akaslan Furkan İşcan Enes ...', 'tarih': 'Pts Eki 30'}"
